Date;Date;SP-Open;SP-High;SP-Low;SP-Close;SP-Volume;SP-Adj Close;EN-Open;EN-High;EN-Low;EN-Close;EN-Volume;EN-Adj Close;BR-Open;BR-High;BR-Low;BR-Close;BR-Volume;BR-Adj Close;HK-Open;HK-High;HK-Low;HK-Close;HK-Volume;HK-Adj Close;SP-Return;EN-Return;BR-Return;HK-Return
1997-04-22;1997-04-22;760.369995;774.640015;759.900024;774.609985;507500000.0;774.609985;;;;;;;94800.0;94800.0;94190.0;94740.0;0.0;9474.0;12614.599609;12648.299805;12533.700195;12580.900391;0.0;12580.900391;0.018727711632;;0.00551899808958;-0.00357196332964
1997-04-23;1997-04-23;774.609985;778.190002;771.900024;773.640015;489350000.0;773.640015;;;;;;;96360.0;96360.0;94660.0;96340.0;0.0;9634.0;12703.5;12758.299805;12687.0;12707.0;0.0;12707.0;-0.00125220435933;;0.0168883259447;0.0100230989103
1997-04-24;1997-04-24;773.640015;779.890015;769.719971;771.179993;493640000.0;771.179993;;;;;;;97470.0;97470.0;96330.0;97090.0;0.0;9709.0;12688.0;12729.099609;12610.700195;12726.799805;0.0;12726.799805;-0.00317980191343;;0.00778492837866;0.0015581809239
1997-04-25;1997-04-25;771.179993;771.179993;764.630005;765.369995;414350000.0;765.369995;;;;;;;97560.0;97560.0;96700.0;97320.0;0.0;9732.0;12707.599609;12783.900391;12643.299805;12645.799805;0.0;12645.799805;-0.00753390654936;;0.00236893603873;-0.00636452220834
1997-04-28;1997-04-28;765.369995;773.890015;763.299988;772.960022;404470000.0;772.960022;;;;;;;97870.0;97870.0;97020.0;97620.0;0.0;9762.0;12645.099609;12649.200195;12565.900391;12610.200195;0.0;12610.200195;0.00991680762191;;0.00308261405672;-0.00281513313108
1997-04-29;1997-04-29;772.960022;794.440002;772.960022;794.049988;547690000.0;794.049988;;;;;;;98590.0;98590.0;97620.0;98580.0;0.0;9858.0;12621.0;12697.200195;12571.599609;12600.400391;0.0;12600.400391;0.0272846788964;;0.00983405039951;-0.000777133102446
1997-04-30;1997-04-30;794.049988;804.130005;791.210022;801.340027;556070000.0;801.340027;;;;;;;100000.0;100000.0;98470.0;99820.0;0.0;9982.0;12819.5;12924.299805;12819.5;12903.299805;0.0;12903.299805;0.00918083132066;;0.0125786163522;0.024038872147
1997-05-01;1997-05-01;801.340027;802.950012;793.210022;798.530029;460380000.0;798.530029;;;;;;;;;;;;;12892.200195;13024.799805;12845.400391;13020.799805;0.0;13020.799805;-0.00350662378681;;;0.00910619777698
1997-05-02;1997-05-02;798.530029;812.98999;798.530029;812.969971;499770000.0;812.969971;;;;;;;101160.0;101160.0;99820.0;100740.0;0.0;10074.0;13026.599609;13145.900391;13015.700195;13081.700195;0.0;13081.700195;0.0180831546411;;0.00921658986175;0.00467716199558
1997-05-05;1997-05-05;812.969971;830.289978;811.799988;830.289978;549410000.0;830.289978;;;;;;;100990.0;100990.0;99940.0;99940.0;0.0;9994.0;13238.599609;13439.799805;13238.599609;13399.299805;0.0;13399.299805;0.0213046085561;;-0.00794123486202;0.0242781599689
1997-05-06;1997-05-06;830.23999;832.289978;824.700012;827.76001;603680000.0;827.76001;;;;;;;102640.0;102640.0;99960.0;102190.0;0.0;10219.0;13520.400391;13679.900391;13520.400391;13579.299805;0.0;13579.299805;-0.00304708965185;;0.0225135081049;0.0134335377684
1997-05-07;1997-05-07;827.76001;827.76001;814.700012;815.619995;500580000.0;815.619995;;;;;;;102360.0;102360.0;101180.0;101800.0;0.0;10180.0;13607.700195;13649.299805;13533.099609;13605.900391;0.0;13605.900391;-0.0146661047325;;-0.00381642039338;0.00195890704101
1997-05-08;1997-05-08;815.619995;829.090027;811.840027;820.26001;534120000.0;820.26001;;;;;;;105030.0;105030.0;101550.0;104370.0;0.0;10437.0;13471.299805;13740.299805;13447.5;13740.299805;0.0;13740.299805;0.00568894218931;;0.0252455795678;0.0098780242496
